entity,type,source_url
the US Nuclear Regulatory Commission,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Michigan,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
October 2025,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Chris Crane,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Exelon,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Constellation.[224,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
September 2023,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Taiwan,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
Taoyuan,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
Singapore,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
Japan,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
Fukushima,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
October 2024,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Bloomberg,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Ubitus,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Wesley Kuo,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
1 November 2024,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
the Federal Energy Regulatory Commission,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
FERC,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Talen Energy,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Susquehanna,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
Commission,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Willie L. Phillips,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
2025,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
2035,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Misinformation,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
U.S.,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
the early 2020s,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
the mid-2020s.[233][234][235,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Geoffrey Hinton,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
universities,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
28 June 2015,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Google Photos's,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Jacky Alcine,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Eight years later,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Julia Angwin,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
ProPublica,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Moritz Hardt,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
ACM,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
the European Union's,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
DARPA,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
2014,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Anthropic,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
China,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
the United States,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
2015,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
2020,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
the 2010s,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Michael Osborne,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Carl Benedikt Frey,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
OECD,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
April 2023,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Economist,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
July 2025,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Ford,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Jim Farley,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
"U.S.""[290",GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
the early days,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Joseph Weizenbaum,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Stephen Hawking,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Nick Bostrom,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Stuart Russell,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Yuval Noah Harari,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Bill Gates,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
"Elon Musk,[300",PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Yoshua Bengio,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Sam Altman,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
May 2023,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Jürgen Schmidhuber,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Andrew Ng,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Yann LeCun,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
the early 2010s,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Eliezer Yudkowsky,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
AAAI,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Wendell Wallach's,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Stuart J. Russell's,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
"Hugging Face,[318",ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
EleutherAI,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
the Alan Turing Institute,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
IEEE,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
The UK AI Safety Institute,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
MIT,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
GitHub,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Stanford,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Between 2016 and 2020,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
EU,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Canada,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
India,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
Mauritius,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
the Russian Federation,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
Saudi Arabia,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
United Arab Emirates,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
Vietnam,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
Bangladesh,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
Malaysia,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
The Global Partnership on Artificial Intelligence,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
June 2020,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Henry Kissinger,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Eric Schmidt,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Daniel Huttenlocher,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
November 2021,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
less than 10 years.[337,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
the United Nations,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
1 August 2024,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
the Council of Europe,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
the European Union,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
the United Kingdom,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
Ipsos,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Reuters,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Fox News,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
November 2023,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
UK,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
May 2024,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
March 2026,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
the United Nations,GPE,https://en.wikipedia.org/wiki/Artificial_intelligence
the Independent International Scientific Panel on AI,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
annual,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Alan Turing's,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
McCulloch,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Pitts,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Turing,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
1950,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Dartmouth College,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
the 1960s.[t,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
1950s,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
early 1960s.[352,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
1960s,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
1970s,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
1965,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Herbert Simon,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
twenty years,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
1967,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Marvin Minsky,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
a generation,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
1974,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
James Lighthill[363,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
the U.S. Congress,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Minsky,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Papert,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
"The ""AI winter",DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
the early 1980s,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
1985,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
1987,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
the 1980s,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Rodney Brooks,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Judea Pearl,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Lotfi Zadeh,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
1990,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
AI,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
the late 1990s,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
early 21st century,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
2000,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
the 1990s,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
2002,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
the 2010s.[69,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
the years 2015–2019.[335],DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
early 2020s,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
AGI,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
30 November 2022,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
two months.[383,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
year,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
annually,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
PitchBook,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Alan Turing,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Russell,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Norvig,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
John McCarthy,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
McCarthy,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
2020s,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
The International Organization for Standardization,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
the National Institute of Standards and Technology's,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
the 1960s,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Newell,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Simon,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Moravec,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Hubert Dreyfus,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
